iter	Passed	Remaining
777	15190	4334
778	15209	4314
779	15230	4295
780	15251	4276
781	15268	4256
782	15287	4236
783	15305	4216
784	15324	4197
785	15347	4178
786	15366	4158
787	15390	4140
788	15412	4121
789	15432	4102
790	15451	4082
791	15470	4063
792	15490	4043
793	15508	4023
794	15529	4004
795	15554	3986
796	15572	3966
797	15594	3947
798	15613	3927
799	15635	3908
800	15654	3889
801	15673	3869
802	15694	3850
803	15712	3830
804	15730	3810
805	15751	3791
806	15770	3771
807	15793	3752
808	15812	3733
809	15831	3713
810	15849	3693
811	15867	3673
812	15887	3654
813	15905	3634
814	15926	3615
815	15945	3595
816	15964	3575
817	15983	3556
818	16002	3536
819	16021	3516
820	16038	3496
821	16059	3477
822	16079	3458
823	16099	3438
824	16121	3419
825	16144	3400
826	16162	3381
827	16181	3361
828	16200	3341
829	16219	3321
830	16238	3302
831	16259	3283
832	16277	3263
833	16297	3243
834	16315	3224
835	16334	3204
836	16353	3184
837	16379	3166
838	16399	3146
839	16427	3129
840	16445	3109
841	16463	3089
842	16482	3069
843	16501	3050
844	16521	3030
845	16542	3011
846	16562	2991
847	16580	2971
848	16599	2952
849	16617	2932
850	16642	2913
851	16660	2894
852	16680	2874
853	16699	2855
854	16718	2835
855	16736	2815
856	16756	2796
857	16775	2776
858	16794	2756
859	16812	2736
860	16831	2717
861	16849	2697
862	16868	2677
863	16887	2658
864	16907	2638
865	16926	2619
866	16945	2599
867	16963	2579
868	16982	2560
869	17001	2540
870	17022	2521
871	17041	2501
872	17063	2482
873	17082	2462
874	17101	2443
875	17122	2423
876	17142	2404
877	17161	2384
878	17181	2365
879	17200	2345
880	17217	2325
881	17236	2305
882	17256	2286
883	17278	2267
884	17296	2247
885	17315	2227
886	17334	2208
887	17354	2188
888	17381	2170
889	17401	2150
890	17423	2131
891	17443	2111
892	17462	2092
893	17480	2072
894	17501	2053
895	17525	2034
896	17543	2014
897	17561	1994
898	17580	1975
899	17598	1955
900	17617	1935
901	17641	1916
902	17660	1897
903	17677	1877
904	17696	1857
905	17714	1837
906	17733	1818
907	17753	1798
908	17770	1779
909	17789	1759
910	17807	1739
911	17826	1720
912	17844	1700
913	17862	1680
914	17881	1661
915	17902	1641
916	17922	1622
917	17942	1602
918	17960	1583
919	17977	1563
920	17994	1543
921	18013	1523
922	18032	1504
923	18052	1484
924	18072	1465
925	18091	1445
926	18114	1426
927	18135	1407
928	18154	1387
929	18173	1367
930	18191	1348
931	18212	1328
932	18231	1309
933	18251	1289
934	18269	1270
935	18288	1250
936	18307	1230
937	18325	1211
938	18346	1191
939	18372	1172
940	18399	1153
941	18420	1134
942	18438	1114
943	18457	1094
944	18473	1075
945	18494	1055
946	18514	1036
947	18538	1016
948	18556	997
949	18576	977
950	18596	958
951	18615	938
952	18635	919
953	18656	899
954	18673	879
955	18690	860
956	18712	840
957	18734	821
958	18753	801
959	18770	782
960	18788	762
961	18806	742
962	18825	723
963	18845	703
964	18863	684
965	18883	664
966	18903	645
967	18922	625
968	18943	606
969	18961	586
970	18978	566
971	18997	547
972	19017	527
973	19036	508
974	19055	488
975	19073	469
976	19091	449
977	19109	429
978	19127	410
979	19145	390
980	19163	371
981	19181	351
982	19200	332
983	19219	312
984	19240	293
985	19259	273
986	19276	253
987	19298	234
988	19317	214
989	19336	195
990	19355	175
991	19382	156
992	19402	136
993	19421	117
994	19441	97
995	19463	78
996	19481	58
997	19502	39
998	19522	19
999	19541	0
